dataset,strategy,seed,precision,recall,f1,mcc,pr_auc,tn,fp,fn,tp,threshold,source_dataset,evaluation_type
bigvul,baseline,42,0.08132260947274352,0.07303370786516854,0.07695560253699789,0.02517699849441331,0.06558788959945427,19908,1028,1155,91,0.5,devign,zero_shot_cross_dataset
bigvul,class_weighted,42,0.05640297978006385,0.8932584269662921,0.1061061061061061,0.002851606701463451,0.06872347940451551,2316,18620,133,1113,0.5,devign,zero_shot_cross_dataset
